Deck1,Deck2,Deck1_damage,Deck2_damage,clean_image_no,nsfw_image_no,tx_fee,player_payout,gas_values,gwei_values,Bid,Stake
0.021169439498289335,0.030703101690153126,0,3,49,14,0.0012783604831626833,1.711630827090833e-05,21451,66,0.046236540040473804,0.02762321688722107
0.020905639322995166,0.03202613134484199,0,4,39,19,0.0015327276784347977,1.832600739181508e-05,29393,75,0.03795106131617234,0.027181955139613127
0.02233539158270896,0.036836801708990854,0,3,66,9,0.0015893669701253085,2.5517818565349204e-05,45641,70,0.03737823699555049,0.02837666831589606
0.01768658009832368,0.028659096413536318,2,3,63,13,0.00182484854948839,2.843940806873519e-05,43007,66,0.031736981524857634,0.026442603185852724
0.0172344798727532,0.035467651058343395,0,5,82,23,0.0017640240718954864,1.3839473629636017e-05,39812,70,0.04175690873655674,0.02606441603793715
0.015106085799730204,0.030039102366735793,0,3,85,5,0.0018603088282215198,2.75278997763722e-05,29266,69,0.024714042275097388,0.027428084131921694
0.020777329667441367,0.0334608891240127,1,4,55,9,0.001893428771288429,2.874008620681791e-05,58154,72,0.030273479402315156,0.026625038658908078
0.021511776849980166,0.039350697642650104,2,6,74,22,0.0013489431697009317,2.443042632270648e-05,54989,77,0.018985740415405537,0.030427393422173564
0.016666405076918283,0.03923224096862184,0,6,72,1,0.0018577584069627328,1.6005901162024353e-05,35076,66,0.030743293086567244,0.026010597793993194
0.01717940161724051,0.038152685721339036,2,6,48,21,0.0021954826808599543,2.7044244304209394e-05,29090,81,0.05815660925345574,0.031787770793596584
0.020908551586537205,0.03641054163800356,2,4,47,10,0.0013668942266110648,2.9879356155375607e-05,29217,80,0.039232214168624574,0.028673208486910615
0.01615070229816335,0.03837069933842661,0,6,53,21,0.0012661231208391562,2.2796761759002295e-05,54182,68,0.01821527234305832,0.027673541583355426
0.022131932780720127,0.0395736640601054,2,6,50,21,0.0018101798921746617,1.6745996095827386e-05,60328,68,0.035720348275772605,0.025418080052692027
0.01933990108670057,0.02702581527598677,0,4,67,14,0.002071904773333387,1.9680448101099386e-05,25326,74,0.05853786180072859,0.028759095596432412
0.018719302658770677,0.03783210535179431,0,4,16,4,0.0012697616541005397,2.8786501202850803e-05,43811,76,0.059375092962065994,0.031425184340935955
